# ANIMAL  MOTHER    BYEAR     SEX       BWT 
582       259       984       2         7.45
655       259       986       2         9.64
770       259       989       2         7.59
467       259       981       1         6.56
358       259       977       2         4.71
409       259       979       2         5.82
503       238       982       1         7.99
539       238       983       2         8.66
281       238       974       2         9.06
436       238       980       2         8.26
259       142       973       1         7.21
303       142       975       2         9.59
1019      870       996       2         7.83
1062      870       997       2         4.49
1198      905       1000      2         5.95
1070      905       997       1         6.3
1280      1119      1002      1         8.27
566       425       984       2         6.88
645       425       986       2         6.73
716       425       988       2         7.35
752       425       989       2         8.34
334       141       976       2         8.35
264       141       973       1         8.34
471       141       981       2         9.01
361       141       977       1         6.08
411       141       979       1         2.91
1247      952       1001      1         5.33
1081      952       997       2         9.69
498       356       982       1         7.42
1294      958       1002      1         6.09
1215      958       1000      2         2.14
1135      958       998       2         6.34
1255      998       1001      1         2.35
470       262       981       2         2.8
410       262       979       1         5.13
586       437       984       2         10.83
694       437       987       1         5.18
585       138       984       2         9.35
262       138       973       1         7.23
437       138       980       1         6.6
469       138       981       2         10.29
598       137       984       1         5.81
710       137       987       2         8.12
514       313       982       2         9.37
419       313       979       2         7.44
291       136       974       2         6.17
313       136       975       1         8.08
1274      979       1001      1         5.71
1194      979       999       1         7.12
496       378       982       1         4.65
618       378       985       2         9.41
684       378       987       2         10.52
534       382       983       1         7.76
465       382       981       2         6.18
573       429       984       2         10.92
613       429       985       1         8.82
651       297       986       2         9.16
650       134       986       2         7.34
575       301       984       1         7.03
615       322       985       2         9.92
462       132       981       2         3.5
276       132       974       1         5.19
322       132       976       1         8.91
405       132       979       2         10.58
228       132       970       2         3.98
1246      1080      1001      1         3.51
356       130       977       1         5.36
835       428       991       2         6.21
648       428       986       2         7.96
397       294       979       2         7.81
294       129       975       1         8.65
317       129       976       2         11.62
647       427       986       2         8.52
719       427       988       1         7.65
903       427       993       1         7.13
942       427       994       2         10.61
1026      427       996       2         5.92
491       274       982       2         8.51
572       274       984       2         5.68
428       274       980       1         8.91
374       296       978       1         7.78
401       296       979       1         2.14
570       373       984       1         5.63
611       400       985       1         4.98
492       246       982       1         6.33
612       246       985       2         7.83
429       246       980       1         2.44
461       246       981       2         5.42
297       246       975       1         5.43
321       246       976       2         7.71
375       246       978       2         8.64
427       127       980       1         4.79
296       127       975       1         4.9
373       127       978       1         9.75
400       127       979       1         2.96
246       127       972       1         2.8
636       125       985       2         10.76
483       125       981       2         7.36
1072      944       997       2         9.63
394       293       979       2         9.31
293       123       975       1         9.03
1307      1018      1002      1         4.72
350       235       977       2         13.37
617       277       985       2         7.44
377       277       978       1         7.62
432       323       980       1         7.25
1296      1139      1002      2         6.74
847       384       991       2         5.59
501       384       982       2         4.64
537       384       983       1         2.33
692       384       987       1         1.64
769       384       989       1         4.07
1258      1002      1001      1         0.41
1186      1050      999       1         5.76
1297      962       1002      1         7.19
1257      962       1001      1         4.62
1141      962       998       2         10.11
1185      962       999       1         2.38
718       372       988       2         11.58
372       245       978       1         6.15
1250      1042      1001      1         5.47
541       410       983       1         5.52
623       410       985       1         3.44
695       410       987       1         3.74
737       410       988       2         9.23
1117      903       998       2         6.29
1165      903       999       1         2.91
1148      969       998       2         9.86
233       110       971       1         7.63
298       110       975       2         9.69
1023      899       996       2         7.68
1256      1088      1001      2         6.36
1223      923       1000      2         5.32
1263      923       1001      2         4.68
479       312       981       2         7.4
418       312       979       1         9.2
451       103       980       2         9.24
312       103       975       1         4.94
290       102       974       2         4.77
311       102       975       2         6.01
342       102       976       2         3.42
1212      955       1000      1         0.09
1084      955       997       1         6.07
1133      955       998       2         7.7
1290      1083      1002      1         4.79
1211      1083      1000      1         6.25
1238      1027      1001      2         5.27
326       257       976       2         10.93
352       257       977       1         7.09
464       257       981       2         9.59
327       247       976       2         4.64
257       101       973       1         11.25
247       101       972       1         7.24
227       101       968       1         9.3
1164      940       999       1         5.85
1236      984       1001      1         3.06
1116      984       998       1         4.98
1077      910       997       2         8.08
1260      965       1001      1         6.22
1241      988       1001      1         3.39
1025      875       996       2         4.44
486       95        982       2         7.88
565       95        984       1         2.99
270       93        974       2         10.63
343       93        977       2         8.6
368       93        978       2         6.96
439       263       980       2         9.09
563       92        984       2         6.97
1177      996       999       1         5.04
516       87        982       1         7.34
587       440       984       2         9.23
698       440       987       2         6.73
505       264       982       2         10.49
544       264       983       1         8.2
626       264       985       1         8.74
386       264       978       2         11.81
515       231       982       2         8.32
558       231       983       2         10.02
599       231       984       2         9.26
634       231       985       2         9.43
481       314       981       2         6.49
314       84        975       1         6.08
390       84        978       2         8.86
1291      1084      1002      2         9.53
1303      926       1002      1         8.3
1226      926       1000      1         6.83
663       265       986       2         8.28
508       285       982       2         10.85
547       285       983       2         8.29
662       364       986       1         9.79
701       364       987       2         9.72
265       83        973       1         8.51
285       83        974       1         8.93
364       83        977       1         6.44
1079      911       997       2         9.76
1102      927       997       2         14.04
1304      1014      1002      1         5
1228      1014      1000      1         5.78
1152      1014      998       2         7.67
631       415       985       1         1.27
664       415       986       1         2.69
703       415       987       1         2.55
782       415       989       1         6.13
928       415       993       2         4.42
578       328       984       1         2.9
730       328       988       2         9.5
433       328       980       1         8.27
1281      1031      1002      1         7.19
1199      1031      1000      1         6.45
415       286       979       1         9.03
398       253       979       2         6.29
243       77        972       2         7.57
253       77        973       1         6.39
338       76        976       2         13.36
445       75        980       2         8.21
365       75        977       2         11.48
509       250       982       2         6.66
548       250       983       2         9.23
444       250       980       2         9.26
414       250       979       2         10.78
286       74        974       1         3.81
307       74        975       1         9.03
251       74        972       1         7.34
266       73        973       2         12.58
239       73        971       2         12.58
250       73        972       1         7.14
1232      1060      1000      1         7.07
654       377       986       1         8.48
882       377       992       2         8.96
512       288       982       2         7.18
596       288       984       2         10.89
449       288       980       2         8.77
477       288       981       2         10.03
511       340       982       1         5.14
633       267       985       2         7.68
510       72        982       1         5.72
476       72        981       2         7.6
288       72        974       1         5.24
366       72        977       2         9.72
389       72        978       2         5.56
267       72        973       1         4.62
794       459       990       1         3.02
901       459       993       1         6.22
524       347       983       1         9.3
610       347       985       1         12.49
676       347       987       1         5.52
545       283       983       2         9.83
627       283       985       2         8.95
699       283       987       2         11.62
412       283       979       1         8.51
283       69        974       1         8.03
657       332       986       1         4.16
734       332       988       2         9.53
332       68        976       1         6.03
359       68        977       2         2.79
1230      976       1000      1         4.17
1273      976       1001      1         8.39
1157      976       998       2         10.05
1243      1035      1001      1         6.55
1172      1035      999       2         9.81
1203      990       1000      1         4.15
1032      880       996       2         8.19
607       63        985       2         5.55
423       63        980       2         9.38
370       63        978       2         11.23
244       63        972       2         8.81
1239      1070      1001      2         9.48
792       455       990       1         8.14
823       455       991       2         7.76
642       455       986       1         4.61
750       455       989       2         9.76
1197      901       1000      1         5.26
1067      901       997       2         7.66
1162      901       999       1         2.26
790       269       990       2         12.8
748       269       989       2         9
452       269       981       2         9.95
393       269       979       1         7.03
392       292       979       2         5.76
518       315       983       2         7.98
420       315       980       1         3.73
601       226       985       2         7.61
269       226       974       1         6.16
292       226       975       1         8
315       226       976       1         6.2
637       59        985       2         11.48
1301      1006      1002      1         4.57
1224      1006      1000      1         4.61
1266      1006      1001      1         1.76
1265      1097      1001      1         7.4
543       361       983       2         6.49
625       361       985       1         2.01
659       361       986       2         5.34
774       361       989       1         7.54
472       361       981       2         4.38
812       411       990       2         9.98
542       411       983       2         9.06
822       393       991       2         10.56
1146      924       998       1         5.17
569       273       984       1         4.85
459       273       981       1         3.37
872       273       992       2         6.68
490       53        982       1         9.05
273       53        974       1         5.34
320       53        976       2         12.25
493       234       982       2         6.68
526       234       983       2         6.2
300       234       975       2         6.34
431       234       980       2         8.2
404       234       979       1         6.8
234       50        971       1         4.76
299       50        975       2         6.03
348       50        977       2         8.66
403       50        979       2         7.2
468       260       981       2         12.48
600       48        984       2         5.09
282       47        974       2         12.07
799       432       990       1         10.99
683       432       987       1         7.28
947       432       994       2         9.72
1127      948       998       2         7.85
606       271       985       2         7.05
456       271       981       2         2.47
369       271       978       2         6.45
641       318       986       1         8.32
455       318       981       1         8.95
869       318       992       2         13.94
897       318       993       2         14.05
318       43        976       1         8.7
399       43        979       2         9.59
1189      1004      999       1         8.65
1220      1051      1000      1         5.49
635       39        985       2         7.38
308       38        975       2         4.68
667       36        987       2         8.47
577       352       984       1         8.01
619       352       985       2         9.58
226       35        968       1         10.77
241       35        972       2         10.59
1252      997       1001      1         4.09
1264      1096      1001      2         4.75
1179      956       999       2         6.72
1213      1041      1000      1         4.55
1178      1041      999       1         6.5
1254      1043      1001      1         4.58
1180      1043      999       1         8.15
1293      1134      1002      2         9.7
1100      971       997       2         12.05
1150      971       998       2         7.21
1205      908       1000      1         5.52
1175      908       999       2         10.88
1233      981       1001      1         7.15
330       237       976       2         6.63
381       237       978       1         4.1
533       229       983       2         3.41
434       229       980       2         6.85
331       229       976       2         8.29
237       30        971       1         3.49
229       30        970       1         5.39
380       30        978       2         8.73
1204      907       1000      1         4.35
1076      907       997       2         9.97
1126      907       998       2         9.15
689       381       987       2         6.63
815       442       990       1         5.14
859       442       991       2         8.31
741       442       988       2         10.98
971       442       994       1         11.9
1056      442       996       2         7.59
345       29        977       2         11.96
316       29        976       2         10.99
755       458       989       1         7.07
523       371       983       1         7.44
756       371       989       2         7.94
519       420       983       2         8.38
1078      950       997       2         14.04
1206      1038      1000      1         3
1278      1116      1002      2         9.61
1287      994       1002      2         6.96
1286      1129      1002      1         8.35
630       387       985       2         12.48
661       387       986       1         9.95
742       387       988       2         12.71
779       387       989       2         12.74
1309      1061      1002      2         7.51
1308      1158      1002      1         6.83
591       306       984       2         7.75
473       306       981       2         3.9
443       249       980       2         10.28
337       249       976       2         11.42
388       249       978       1         7.81
387       20        978       1         11.34
306       20        975       1         6.2
249       20        972       1         6.58
442       248       980       1         6.94
363       248       977       2         10.2
413       248       979       2         7.76
336       248       976       2         8.31
441       18        980       2         10.79
284       18        974       1         6.22
335       18        976       2         11.91
248       18        972       1         5.75
230       18        970       2         12.12
1283      1125      1002      1         8.67
1195      932       999       2         5.16
843       433       991       1         6.56
579       433       984       1         4.97
951       433       994       2         10.81
555       240       983       1         3.78
594       240       984       1         5.58
448       240       980       1         5.45
553       287       983       2         6.08
592       287       984       1         5.2
743       287       988       2         7.43
240       15        971       1         7.28
287       15        974       1         5.85
536       280       983       2         10.1
384       280       978       1         1.96
535       357       983       2         10.85
581       357       984       1         3.59
804       383       990       1         8.9
732       383       988       2         8.28
768       383       989       1         1.97
466       383       981       2         9.61
621       408       985       1         3.1
499       14        982       1         4.96
280       14        974       1         6.8
357       14        977       1         5.4
383       14        978       1         5.26
408       14        979       1         3.81
798       376       990       2         11.98
494       376       982       2         7.56
527       376       983       2         6.48
764       376       989       2         7.46
837       404       991       2         10.21
652       404       986       1         8.83
681       404       987       1         4.11
723       404       988       2         11.28
877       404       992       2         11.99
1024      900       996       2         10.43
1282      1033      1002      1         7.51
1268      1010      1001      1         7.59
521       424       983       2         10.54
644       424       986       2         7.54
487       254       982       2         3.28
522       254       983       2         5.76
671       254       987       1         2.16
554       11        983       2         8.47
643       319       986       2         6.68
424       319       980       1         8.06
319       10        976       1         5
605       7         985       2         8.04
638       4         986       2         10.57
497       302       982       1         9.97
729       236       988       2         11.41
328       236       976       1         6.46
354       236       977       2         7.13
302       236       975       1         7
236       227       971       1         4.78
379       227       978       2         8.42
488       272       982       1         6.8
568       272       984       1         3.25
646       272       986       1         3.41
672       272       987       2         6.83
753       272       989       2         9.23
426       272       980       2         6.35
371       272       978       1         5.28
457       295       981       2         5.89
346       255       977       2         9.48
272       1         974       1         5.2
295       1         975       1         5.94
255       1         973       1         5.29
